id,gp,minutes,pts,dreb,oreb,reb
17,8,0,68,0,0,0
16,2,0,5,0,0,0
15,2,0,16,0,0,0
12,5,0,22,0,0,0
11,11,0,117,0,0,0
13,5,0,63,0,0,0
14,2,0,16,0,0,0
18,6,0,14,0,0,0
20,1,0,5,0,0,0
